Wall time,Step,Value
1683464794.5700586,193250,67.50627136230469
1683464798.2242844,193900,67.89932250976562
1683464801.8620603,194550,68.4229507446289
1683464803.702137,194880,68.06201934814453
1683464805.1811807,195150,68.15515899658203
1683464806.7828972,195440,68.21209716796875
1683464808.8723083,195810,68.71932220458984
1683464817.4693134,197340,71.31151580810547
1683464818.906469,197600,71.97152709960938
1683464820.1770706,197830,72.52288055419922
1683464822.875852,198310,73.61676025390625
1683464827.661053,199170,75.6402816772461
1683464830.6999245,199710,75.5225830078125
1683464832.0353525,199950,75.84630584716797
1683464833.4525619,200080,76.70464324951172
1683464836.2540681,200580,76.08219146728516
1683464839.3757188,201130,76.47266387939453
1683464841.0881388,201440,76.18820190429688
1683464842.098436,201620,76.27193450927734
1683464844.8680294,202110,76.62963104248047
1683464848.868328,202820,76.9657211303711
1683464852.095696,203400,78.74139404296875
1683464853.3583186,203620,79.06517028808594
1683464854.088366,203750,79.10688018798828
1683464857.655824,204390,79.62002563476562
1683464858.0078826,204450,79.84627532958984
1683464861.9643004,205160,78.8147201538086
1683464864.2990546,205570,78.34699249267578
1683464865.9715815,205870,77.18095397949219
1683464869.4373114,206490,76.94237518310547
1683464870.7697484,206730,76.59098052978516
1683464874.81393,207450,77.92898559570312
1683464875.7663867,207620,78.44539642333984
1683464884.091116,209090,81.88128662109375
1683464884.753345,209210,81.96627044677734
1683464888.6120238,209900,82.96000671386719
1683464889.3630147,210030,83.37332153320312
1683464893.1399124,210700,83.82111358642578
1683464893.545827,210770,84.42819213867188
1683464896.1728005,211240,84.05856323242188
1683464897.9709907,211560,84.36367797851562
1683464898.8606107,211720,85.73701477050781
1683464903.2020006,212500,84.6415786743164
1683464905.8618844,212970,84.8055648803711
1683464907.1544278,213200,86.49754333496094
1683464911.7391648,214010,87.07105255126953
1683464913.8754501,214390,86.77973937988281
1683464915.6507018,214700,86.73692321777344
1683464916.5463066,214860,86.60118865966797
1683464920.1167562,215490,85.2735824584961
1683464930.238682,217290,83.16389465332031
1683464932.0249047,217610,82.6185531616211
1683464933.9248226,217950,82.31968688964844
1683464936.7063825,218440,80.91612243652344
1683464943.1302009,219580,79.91751861572266
1683464948.1148677,220460,78.13978576660156
1683464954.1726649,221520,78.08284759521484
1683464958.910991,222360,78.36992645263672
1683464959.9960885,222550,78.86238861083984
1683464963.3361547,223150,79.59576416015625
1683464965.4365363,223520,79.69783782958984
1683464967.2566683,223850,80.16019439697266
1683464968.2739472,224030,80.08560943603516
1683464971.6778424,224640,80.53046417236328
1683464972.80084,224840,80.86559295654297
1683464975.6153107,225340,81.46292877197266
1683464976.578734,225510,82.34760284423828
1683464979.529842,226030,82.72704315185547
1683464980.7914658,226250,83.71331787109375
1683464982.3812137,226530,84.1517105102539
1683464985.1358457,227020,84.9405746459961
1683464986.7475348,227300,86.18939208984375
1683464989.7385354,227830,87.26200866699219
1683464991.6633859,228170,87.67939758300781
1683464994.6723392,228710,87.48387908935547
1683464998.4582114,229380,87.77010345458984
1683465000.361122,229720,88.09483337402344
1683465004.8620827,230520,89.0716323852539
1683465009.462777,231340,92.34913635253906
1683465012.0777826,231800,93.97467041015625
1683465014.0425272,232150,95.72554779052734
1683465016.2147171,232540,98.38663482666016
1683465022.4360774,233650,102.36583709716797
1683465023.3645933,233820,102.91954803466797
1683465026.2030005,234330,103.19966888427734
1683465027.7777886,234610,103.14694213867188
1683465032.8372567,235510,102.56369018554688
1683465035.8821113,236060,104.21598815917969
1683465038.9598796,236610,105.63574981689453
1683465040.9904492,236970,106.07090759277344
1683465051.7775948,238900,112.27571868896484
1683465054.7685947,239440,113.80736541748047
1683465059.5777316,240300,115.28913879394531
1683465060.6468718,240490,115.4473876953125
1683465064.4227722,241160,114.84199523925781
1683465066.835319,241590,113.7408218383789
1683465069.3595676,242040,111.91568756103516
1683465072.188002,242540,113.1462631225586
1683465077.4858317,243480,117.15619659423828
1683465079.2191951,243790,117.9892349243164
1683465082.450552,244360,118.98160552978516
1683465084.9738033,244810,122.41194915771484
1683465087.784286,245310,122.34374237060547
